"company","company_code"
"Flash Cab",23
"Star North Management LLC",47
"Taxi Affiliation Services",51
"Choice Taxi Association",18
"Chicago Independents",14
"Blue Ribbon Taxi Association Inc",10
"Taxicab Insurance Agency  LLC",52
"Top Cab Affiliation",53
"KOAM Taxi Association",29
"N and W Cab Co",34
"Chicago Medallion Management",15
"Twentyfour Seven Taxi",54
"Chicago Carriage Cab Corp",13
"CHICAGO Taxicab",17
"SUN Taxi",48
"Globe Taxi",25
"Patriot Taxi Dba Peace Taxi Associat",37
"City Service",20
"Medallion Leasin",32
"Taxi Affiliation Service Yellow",50
"Blue Diamond",9
"Nova Taxi Affiliation Llc",35
"Gold Coast Taxi",26
"Yellow Cab",56
"312 Medallion Management Corp",1
"Metro Jet Taxi A",33
"CHECKER Taxi Affiliation",12
"Five Star Taxi",22
"Checker Taxi",11
"Tasha ride inc",49
"Setare Inc",46
"American United Taxi Affiliation",5
"Omar Jada",36
"American United",4
"Luhak Corp",31
"Leonard Cab Co",30
"Adwar H  Nikola",2
"JBL Cab Inc",28
"Jay Kim",27
"G L B  Cab Co",24
"Sbeih company",44
"Benny Jona",8
"Babylon Express Inc",7
"Arrington Enterprises",6
"Chicago Star Taxicab",16
"Reny Cab Co",40
"Santamaria Express  Alvaro Santamaria",43
"Salifu Bawa",41
"Sam Mestas",42
"Ahzmi Inc",3
"David K  Cab Corp",21
"Sergey Cab Corp",45
"Chuks Cab",19
"Petani Cab Corp",38
"U Taxicab",55
"RC Andrews Cab",39
